"","wac$w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05"
"1134","53061052402",1544,503,688,353,634,548,362,0,0,18,107,19,36,261,16,30,62,25,102,0,15,4,157,85,499,104,4,1394,24,15,70,1,40,1439,105,96,321,349,275,681,863,0,0,0,0,0,0,0,0,0,0
"1135","53061052502",1347,483,626,238,397,485,465,7,0,0,186,37,189,590,19,5,4,10,25,0,56,23,38,12,113,33,0,1216,34,16,48,2,31,1267,80,87,245,313,219,757,590,0,0,0,0,0,0,0,0,0,0
"1136","53061052503",521,128,283,110,185,218,118,0,0,13,38,6,16,94,4,0,16,20,9,0,95,0,103,0,63,24,20,448,10,8,39,2,14,466,55,46,98,141,108,187,334,0,0,0,0,0,0,0,0,0,0
"1137","53061052504",444,121,236,87,95,102,247,9,0,0,244,2,0,12,0,7,0,4,0,0,73,2,54,0,13,24,0,415,13,1,9,3,3,421,23,47,110,106,60,305,139,0,0,0,0,0,0,0,0,0,0
"1138","53061052603",1417,130,888,399,303,477,637,0,0,0,28,0,0,33,13,1,3,5,7,0,9,1308,10,0,0,0,0,1374,8,6,17,3,9,1381,36,53,317,447,470,358,1059,0,0,0,0,0,0,0,0,0,0
"1139","53061052604",1256,442,613,201,460,545,251,0,0,0,37,3,12,486,0,6,50,21,50,0,24,22,146,28,267,104,0,1088,38,8,96,0,26,1152,104,98,241,269,206,498,758,0,0,0,0,0,0,0,0,0,0
"1140","53061052605",924,230,522,172,241,253,430,31,0,12,314,5,43,40,14,0,15,5,4,0,76,11,94,23,84,8,145,854,11,10,23,5,21,856,68,74,188,256,176,595,329,0,0,0,0,0,0,0,0,0,0
"1141","53061052606",248,87,115,46,80,105,63,0,0,0,45,0,54,37,0,0,2,1,9,0,22,0,19,0,42,17,0,223,6,6,4,0,9,230,18,23,47,54,37,152,96,0,0,0,0,0,0,0,0,0,0
"1142","53061052607",376,96,212,68,93,113,170,0,0,0,174,6,38,21,4,0,2,0,16,3,11,0,31,0,58,12,0,341,5,4,14,1,11,346,30,24,92,94,70,240,136,0,0,0,0,0,0,0,0,0,0
"1143","53061052701",113,14,61,38,23,35,55,10,0,0,43,0,0,0,48,5,0,0,1,0,1,0,4,0,0,1,0,98,3,2,3,0,7,108,5,9,32,34,24,87,26,0,0,0,0,0,0,0,0,0,0
"1144","53061052705",318,125,144,49,112,162,44,0,0,0,54,0,2,118,0,1,1,4,37,0,15,11,50,0,18,7,0,267,16,4,20,2,9,293,25,29,55,61,48,157,161,0,0,0,0,0,0,0,0,0,0
"1145","53061052706",240,58,147,35,95,73,72,0,0,0,72,0,32,31,0,0,0,0,14,0,10,6,18,36,0,21,0,217,8,1,4,1,9,226,14,30,46,63,43,140,100,0,0,0,0,0,0,0,0,0,0
"1146","53061052707",162,53,82,27,58,47,57,0,0,21,17,0,10,1,0,2,7,1,6,0,3,0,22,0,54,18,0,147,5,2,4,1,3,150,12,15,26,41,27,78,84,0,0,0,0,0,0,0,0,0,0
"1147","53061052708",115,25,60,30,63,25,27,0,0,0,15,4,8,8,0,1,0,2,9,0,14,17,32,1,1,3,0,97,0,0,12,2,4,103,12,6,18,33,33,54,61,0,0,0,0,0,0,0,0,0,0
